OCCUR_DATE,OCCUR_TIME,BORO,X_COORD_CD,Y_COORD_CD,GRID_ID
2006-02-21,01:51:00,BRONX,1006333.6875,244426.140625,60_79
2006-02-21,01:00:00,MANHATTAN,996355.0,235615.0,54_73
2006-02-21,23:00:00,BROOKLYN,1003224.0,181035.0,58_36
2006-02-22,16:25:00,BROOKLYN,1008544.3125,186798.78125,62_40
2006-02-22,16:25:00,BROOKLYN,1008544.3125,186798.78125,62_40
2006-02-22,21:55:00,QUEENS,1050963.5,189412.890625,90_42
2006-02-24,23:30:00,BRONX,1011567.625,240624.734375,64_76
2006-02-24,23:21:00,BROOKLYN,1009322.5625,175586.5,62_33
2006-02-25,07:50:00,BROOKLYN,988740.3125,194815.46875,49_46
2006-02-25,00:15:00,QUEENS,1020236.875,210723.71875,70_56
2006-02-25,14:40:00,BROOKLYN,997831.0,189816.0,55_42
2006-02-26,20:00:00,BROOKLYN,998883.1875,189019.296875,55_42
2006-02-26,04:11:00,STATEN ISLAND,962759.375,168597.1875,31_28
2006-02-28,01:20:00,BROOKLYN,1002903.875,181998.53125,58_37
2006-02-28,16:09:00,BROOKLYN,998243.0,176387.0,55_33
2006-02-28,18:10:00,QUEENS,1048707.875,197852.25,89_48
2006-02-28,17:58:00,BRONX,1026507.4375,261478.609375,74_90
2006-02-28,20:11:00,QUEENS,1034155.0,191312.0,79_43
2006-03-02,00:00:00,BRONX,1010675.5625,253887.9375,63_85
2006-03-02,15:42:00,BRONX,1006595.5625,243172.90625,61_78
2006-03-02,01:50:00,BROOKLYN,997399.0,176827.5625,54_34
2006-03-03,11:15:00,BROOKLYN,1000273.1875,194683.03125,56_45
2006-03-03,11:15:00,BROOKLYN,1000273.1875,194683.03125,56_45
2006-03-04,04:04:00,STATEN ISLAND,962987.0,168556.0,32_28
2006-03-04,15:00:00,MANHATTAN,1000054.0,227082.0,56_67
2006-03-04,23:10:00,BROOKLYN,1009566.625,189793.890625,63_42
2006-03-04,21:36:00,BRONX,1008157.75,232645.09375,62_71
2006-03-04,14:57:00,BROOKLYN,1008427.4375,183517.71875,62_38
2006-03-05,03:05:00,BRONX,1004369.0,237509.0,59_74
2006-03-05,04:45:00,BRONX,1006868.0,237802.0,61_74
2006-03-05,02:25:00,BRONX,1004544.0,235022.0,59_72
2006-03-05,22:30:00,BRONX,1007418.0,243859.21875,61_78
2006-03-06,00:33:00,BROOKLYN,1000083.0625,185748.421875,56_39
2006-03-06,19:07:00,BRONX,1005170.25,235308.171875,60_73
2006-03-06,15:25:00,BROOKLYN,1004800.875,155559.25,59_19
2006-03-06,15:16:00,BRONX,1007060.0,234521.0,61_72
2006-03-09,16:40:00,BROOKLYN,997324.5625,189738.59375,54_42
2006-03-09,16:40:00,BROOKLYN,997324.5625,189738.59375,54_42
2006-03-09,16:40:00,BROOKLYN,997324.5625,189738.59375,54_42
2006-03-09,16:40:00,BROOKLYN,997324.5625,189738.59375,54_42
2006-03-09,15:36:00,BRONX,1011325.8125,261231.640625,64_90
2006-03-09,15:36:00,BRONX,1011325.8125,261231.640625,64_90
2006-03-10,22:25:00,BRONX,1025495.5625,242275.390625,73_77
2006-03-10,21:30:00,BROOKLYN,1015397.375,177876.03125,66_34
2006-03-11,04:36:00,BRONX,1018790.75,240921.328125,69_76
2006-03-11,04:13:00,BROOKLYN,1003890.4375,172805.046875,59_31
2006-03-11,05:00:00,MANHATTAN,990712.4375,202608.5,50_51
2006-03-11,01:47:00,BROOKLYN,990105.0,170389.0,50_29
2006-03-11,03:47:00,BROOKLYN,1001142.25,193050.9375,57_44
2006-03-11,22:58:00,BROOKLYN,1021107.0,181187.0,70_36
2006-03-12,00:35:00,BRONX,1013842.75,249122.34375,65_82
2006-03-12,00:35:00,BRONX,1013842.75,249122.34375,65_82
2006-03-13,03:01:00,BROOKLYN,1005944.9375,188861.90625,60_42
2006-03-13,00:41:00,QUEENS,1057465.5,204039.125,95_52
2006-03-13,03:01:00,BROOKLYN,1005944.9375,188861.90625,60_42
2006-03-14,02:15:00,BRONX,1021875.4375,262706.78125,71_91
2006-03-15,00:50:00,STATEN ISLAND,938946.75,168933.140625,16_28
2006-03-16,15:35:00,MANHATTAN,1000741.1875,230832.890625,57_70
2006-03-16,15:35:00,MANHATTAN,1000741.1875,230832.890625,57_70
2006-03-16,19:59:00,BROOKLYN,992899.0,191800.0,51_44
2006-03-16,16:08:00,MANHATTAN,987043.5,210691.984375,48_56
2006-03-16,19:59:00,BROOKLYN,992899.0,191800.0,51_44
2006-03-16,00:05:00,QUEENS,1043389.375,154069.921875,85_18
2006-03-17,20:55:00,BRONX,1014999.625,247315.8125,66_81
2006-03-17,22:07:00,BROOKLYN,1001829.625,188237.984375,57_41
2006-03-18,16:20:00,BROOKLYN,1005710.5625,185258.15625,60_39
2006-03-19,18:23:00,BRONX,1012786.0,254319.0,65_85
2006-03-19,18:23:00,BRONX,1012786.0,254319.0,65_85
2006-03-19,03:59:00,BROOKLYN,998224.9375,186767.625,55_40
2006-03-19,03:00:00,BROOKLYN,997302.0,178005.0,54_34
2006-03-20,02:45:00,QUEENS,1007694.25,219656.640625,61_62
2006-03-20,02:45:00,QUEENS,1007694.25,219656.640625,61_62
2006-03-20,21:54:00,BROOKLYN,1008352.9375,189038.90625,62_42
2006-03-20,14:50:00,BROOKLYN,1009515.0,183436.40625,63_38
2006-03-20,11:25:00,BROOKLYN,999631.4375,198004.09375,56_48
2006-03-21,11:20:00,MANHATTAN,1001021.25,238518.078125,57_75
2006-03-21,17:40:00,BROOKLYN,1002159.625,182377.328125,58_37
2006-03-21,20:54:00,BRONX,1017768.8125,261525.484375,68_90
2006-03-21,17:40:00,BROOKLYN,1002159.625,182377.328125,58_37
2006-03-22,16:00:00,BROOKLYN,995946.4375,172082.921875,54_30
2006-03-22,12:00:00,QUEENS,1027657.3125,186826.625,75_40
2006-03-23,16:48:00,BROOKLYN,1003127.0625,190619.09375,58_43
2006-03-23,19:10:00,MANHATTAN,1000866.375,226631.578125,57_67
2006-03-23,19:10:00,MANHATTAN,1000866.375,226631.578125,57_67
2006-03-23,13:00:00,BRONX,1019871.625,241008.84375,69_76
2006-03-24,01:02:00,BROOKLYN,998436.875,191955.203125,55_44
2006-03-24,20:28:00,BROOKLYN,1007015.5625,178099.875,61_34
2006-03-24,12:51:00,MANHATTAN,1001963.0,233039.0,58_71
2006-03-24,20:42:00,BRONX,1013207.375,249659.34375,65_82
2006-03-24,01:02:00,BROOKLYN,998436.875,191955.203125,55_44
2006-03-25,05:26:00,BROOKLYN,994988.6875,176665.125,53_33
2006-03-25,05:26:00,BROOKLYN,994988.6875,176665.125,53_33
2006-03-25,08:10:00,BROOKLYN,1013308.6875,176001.921875,65_33
2006-03-25,22:51:00,MANHATTAN,1000542.4375,242269.953125,57_77
2006-03-25,05:26:00,BROOKLYN,994988.6875,176665.125,53_33
2006-03-25,05:26:00,BROOKLYN,994988.6875,176665.125,53_33
2006-03-25,03:10:00,QUEENS,1043652.0,190369.0,85_43
2006-03-26,03:49:00,QUEENS,1058210.0,201550.0,95_50
2006-03-26,03:54:00,BRONX,1013259.5625,252468.078125,65_84
2006-03-26,02:55:00,STATEN ISLAND,946352.0,170050.0,20_29
2006-03-26,00:19:00,QUEENS,1053678.0,159044.0,92_22
2006-03-26,23:09:00,BROOKLYN,995301.9375,190523.84375,53_43
2006-03-26,02:55:00,STATEN ISLAND,946352.0,170050.0,20_29
2006-03-27,14:59:00,BROOKLYN,1008549.0,178741.0,62_35
2006-03-27,14:59:00,BROOKLYN,1008549.0,178741.0,62_35
2006-03-27,23:31:00,BROOKLYN,1004652.0,179673.0,59_35
2006-03-27,08:45:00,QUEENS,1041708.75,196834.9375,84_47
2006-03-28,17:37:00,BRONX,1026387.0,262634.0,74_91
2006-03-28,15:43:00,BRONX,1022381.125,260533.640625,71_89
2006-03-28,20:58:00,BROOKLYN,995301.9375,190523.84375,53_43
2006-03-28,15:43:00,BRONX,1022381.125,260533.640625,71_89
2006-03-29,19:48:00,BRONX,1007951.5,241445.25,62_77
