date,tourists
2020-04-01,0
2020-05-01,572162
2020-06-01,3916553
2020-07-01,21755739
2020-08-01,31661014
2020-09-01,13395196
2020-10-01,7849462
2020-11-01,4357310
2020-12-01,5074994
2021-01-01,3905773
2021-02-01,3691649
2021-03-01,5591945
2021-04-01,6910432
2021-05-01,11092892
2021-06-01,21634497
2021-07-01,42349731
2021-08-01,56753849
2021-09-01,36255305
2021-10-01,32217680
2021-11-01,20237815
2021-12-01,18790741
2022-01-01,15394675
2022-02-01,18990282
2022-03-01,23600888
2022-04-01,34558347
2022-05-01,39486464
2022-06-01,48649387
2022-07-01,63965423
2022-08-01,72032841
2022-09-01,49012409
2022-10-01,39265874
2022-11-01,23611518
2022-12-01,23056834
2023-01-01,21452922
2023-02-01,23000407
2023-03-01,27550793
2023-04-01,38810581
2023-05-01,42810689
2023-06-01,49392931
2023-07-01,64520252
2023-08-01,72141385
2023-09-01,51547182
2023-10-01,42564399
2023-11-01,25468600
2023-12-01,24982128
2024-01-01,22721894
